Mod:Item:MetaData, Localized Name
metallurgychisel:base_window:7, Steel Window
metallurgychisel:ender_frame:0, Eximite Frame
metallurgychisel:ender_frame:1, Meutoite Frame
metallurgychisel:ender_frame:2, Desichalkos Frame
metallurgychisel:ender_frame_crossed:0, Eximite Frame Crossed
metallurgychisel:ender_frame_crossed:1, Meutoite Frame Crossed
metallurgychisel:ender_frame_crossed:2, Desichalkos Frame Crossed
metallurgychisel:ender_grate:0, Eximite Grate
metallurgychisel:ender_grate:1, Meutoite Grate
metallurgychisel:ender_grate:2, Desichalkos Grate
metallurgychisel:ender_mesh:0, Eximite Mesh
metallurgychisel:ender_mesh:1, Meutoite Mesh
metallurgychisel:ender_mesh:2, Desichalkos Mesh
metallurgychisel:ender_window:0, Eximite Window
metallurgychisel:ender_window:1, Meutoite Window
metallurgychisel:ender_window:2, Desichalkos Window
metallurgychisel:fantasy_frame:0, Prometheum Frame
metallurgychisel:fantasy_frame:1, Deep Iron Frame
metallurgychisel:fantasy_frame:2, Infuscolium Frame
metallurgychisel:fantasy_frame:3, Black Steel Frame
metallurgychisel:fantasy_frame:4, Oureclase Frame
metallurgychisel:fantasy_frame:5, Astral Silver Frame
metallurgychisel:fantasy_frame:6, Carmot Frame
metallurgychisel:fantasy_frame:7, Mithril Frame
metallurgychisel:fantasy_frame:8, Rubracium Frame
metallurgychisel:fantasy_frame:9, Quicksilver Frame
metallurgychisel:fantasy_frame:10, Haderoth Frame
metallurgychisel:fantasy_frame:11, Orichalcum Frame
metallurgychisel:fantasy_frame:12, Celenegil Frame
metallurgychisel:fantasy_frame:13, Adamantine Frame
metallurgychisel:fantasy_frame:14, Atlarus Frame
metallurgychisel:fantasy_frame:15, Tartarite Frame
metallurgychisel:fantasy_frame_crossed:0, Prometheum Frame Crossed
metallurgychisel:fantasy_frame_crossed:1, Deep Iron Frame Crossed
metallurgychisel:fantasy_frame_crossed:2, Infuscolium Frame Crossed
metallurgychisel:fantasy_frame_crossed:3, Black Steel Frame Crossed
metallurgychisel:fantasy_frame_crossed:4, Oureclase Frame Crossed
metallurgychisel:fantasy_frame_crossed:5, Astral Silver Frame Crossed
metallurgychisel:fantasy_frame_crossed:6, Carmot Frame Crossed
metallurgychisel:fantasy_frame_crossed:7, Mithril Frame Crossed
metallurgychisel:fantasy_frame_crossed:8, Rubracium Frame Crossed
metallurgychisel:fantasy_frame_crossed:9, Quicksilver Frame Crossed
metallurgychisel:fantasy_frame_crossed:10, Haderoth Frame Crossed
metallurgychisel:fantasy_frame_crossed:11, Orichalcum Frame Crossed
metallurgychisel:fantasy_frame_crossed:12, Celenegil Frame Crossed
metallurgychisel:fantasy_frame_crossed:13, Adamantine Frame Crossed
metallurgychisel:fantasy_frame_crossed:14, Atlarus Frame Crossed
metallurgychisel:fantasy_frame_crossed:15, Tartarite Frame Crossed
metallurgychisel:fantasy_grate:0, Prometheum Grate
metallurgychisel:fantasy_grate:1, Deep Iron Grate
metallurgychisel:fantasy_grate:2, Infuscolium Grate
metallurgychisel:fantasy_grate:3, Black Steel Grate
metallurgychisel:fantasy_grate:4, Oureclase Grate
metallurgychisel:fantasy_grate:5, Astral Silver Grate
metallurgychisel:fantasy_grate:6, Carmot Grate
metallurgychisel:fantasy_grate:7, Mithril Grate
metallurgychisel:fantasy_grate:8, Rubracium Grate
metallurgychisel:fantasy_grate:9, Quicksilver Grate
metallurgychisel:fantasy_grate:10, Haderoth Grate
metallurgychisel:fantasy_grate:11, Orichalcum Grate
metallurgychisel:fantasy_grate:12, Celenegil Grate
metallurgychisel:fantasy_grate:13, Adamantine Grate
metallurgychisel:fantasy_grate:14, Atlarus Grate
metallurgychisel:fantasy_grate:15, Tartarite Grate
metallurgychisel:fantasy_mesh:0, Prometheum Mesh
metallurgychisel:fantasy_mesh:1, Deep Iron Mesh
metallurgychisel:fantasy_mesh:2, Infuscolium Mesh
metallurgychisel:fantasy_mesh:3, Black Steel Mesh
metallurgychisel:fantasy_mesh:4, Oureclase Mesh
metallurgychisel:fantasy_mesh:5, Astral Silver Mesh
metallurgychisel:fantasy_mesh:6, Carmot Mesh
metallurgychisel:fantasy_mesh:7, Mithril Mesh
metallurgychisel:fantasy_mesh:8, Rubracium Mesh
metallurgychisel:fantasy_mesh:9, Quicksilver Mesh
metallurgychisel:fantasy_mesh:10, Haderoth Mesh
metallurgychisel:fantasy_mesh:11, Orichalcum Mesh
metallurgychisel:fantasy_mesh:12, Celenegil Mesh
metallurgychisel:fantasy_mesh:13, Adamantine Mesh
metallurgychisel:fantasy_mesh:14, Atlarus Mesh
metallurgychisel:fantasy_mesh:15, Tartarite Mesh
metallurgychisel:fantasy_window:0, Prometheum Window
metallurgychisel:fantasy_window:1, Deep Iron Window
metallurgychisel:fantasy_window:2, Infuscolium Window
metallurgychisel:fantasy_window:3, Black Steel Window
metallurgychisel:fantasy_window:4, Oureclase Window
metallurgychisel:fantasy_window:5, Astral Silver Window
metallurgychisel:fantasy_window:6, Carmot Window
metallurgychisel:fantasy_window:7, Mithril Window
metallurgychisel:fantasy_window:8, Rubracium Window
metallurgychisel:fantasy_window:9, Quicksilver Window
metallurgychisel:fantasy_window:10, Haderoth Window
metallurgychisel:fantasy_window:11, Orichalcum Window
metallurgychisel:fantasy_window:12, Celenegil Window
metallurgychisel:fantasy_window:13, Adamantine Window
metallurgychisel:fantasy_window:14, Atlarus Window
metallurgychisel:fantasy_window:15, Tartarite Window
metallurgychisel:nether_frame:0, Ignatius Frame
metallurgychisel:nether_frame:1, Shadow Iron Frame
metallurgychisel:nether_frame:2, Lemurite Frame
metallurgychisel:nether_frame:3, Midasium Frame
metallurgychisel:nether_frame:4, Vyroxeres Frame
metallurgychisel:nether_frame:5, Ceruclase Frame
metallurgychisel:nether_frame:6, Alduorite Frame
metallurgychisel:nether_frame:7, Kalendrite Frame
metallurgychisel:nether_frame:8, Vulcanite Frame
metallurgychisel:nether_frame:9, Sanguinite Frame
metallurgychisel:nether_frame:10, Shadow Steel Frame
metallurgychisel:nether_frame:11, Inolashite Frame
metallurgychisel:nether_frame:12, Amordrine Frame
metallurgychisel:nether_frame_crossed:0, Ignatius Frame Crossed
metallurgychisel:nether_frame_crossed:1, Shadow Iron Frame Crossed
metallurgychisel:nether_frame_crossed:2, Lemurite Frame Crossed
metallurgychisel:nether_frame_crossed:3, Midasium Frame Crossed
metallurgychisel:nether_frame_crossed:4, Vyroxeres Frame Crossed
metallurgychisel:nether_frame_crossed:5, Ceruclase Frame Crossed
metallurgychisel:nether_frame_crossed:6, Alduorite Frame Crossed
metallurgychisel:nether_frame_crossed:7, Kalendrite Frame Crossed
metallurgychisel:nether_frame_crossed:8, Vulcanite Frame Crossed
metallurgychisel:nether_frame_crossed:9, Sanguinite Frame Crossed
metallurgychisel:nether_frame_crossed:10, Shadow Steel Frame Crossed
metallurgychisel:nether_frame_crossed:11, Inolashite Frame Crossed
metallurgychisel:nether_frame_crossed:12, Amordrine Frame Crossed
metallurgychisel:nether_grate:0, Ignatius Grate
metallurgychisel:nether_grate:1, Shadow Iron Grate
metallurgychisel:nether_grate:2, Lemurite Grate
metallurgychisel:nether_grate:3, Midasium Grate
metallurgychisel:nether_grate:4, Vyroxeres Grate
metallurgychisel:nether_grate:5, Ceruclase Grate
metallurgychisel:nether_grate:6, Alduorite Grate
metallurgychisel:nether_grate:7, Kalendrite Grate
metallurgychisel:nether_grate:8, Vulcanite Grate
metallurgychisel:nether_grate:9, Sanguinite Grate
metallurgychisel:nether_grate:10, Shadow Steel Grate
metallurgychisel:nether_grate:11, Inolashite Grate
metallurgychisel:nether_grate:12, Amordrine Grate
metallurgychisel:nether_mesh:0, Ignatius Mesh
metallurgychisel:nether_mesh:1, Shadow Iron Mesh
metallurgychisel:nether_mesh:2, Lemurite Mesh
metallurgychisel:nether_mesh:3, Midasium Mesh
metallurgychisel:nether_mesh:4, Vyroxeres Mesh
metallurgychisel:nether_mesh:5, Ceruclase Mesh
metallurgychisel:nether_mesh:6, Alduorite Mesh
metallurgychisel:nether_mesh:7, Kalendrite Mesh
metallurgychisel:nether_mesh:8, Vulcanite Mesh
metallurgychisel:nether_mesh:9, Sanguinite Mesh
metallurgychisel:nether_mesh:10, Shadow Steel Mesh
metallurgychisel:nether_mesh:11, Inolashite Mesh
metallurgychisel:nether_mesh:12, Amordrine Mesh
metallurgychisel:nether_window:0, Ignatius Window
metallurgychisel:nether_window:1, Shadow Iron Window
metallurgychisel:nether_window:2, Lemurite Window
metallurgychisel:nether_window:3, Midasium Window
metallurgychisel:nether_window:4, Vyroxeres Window
metallurgychisel:nether_window:5, Ceruclase Window
metallurgychisel:nether_window:6, Alduorite Window
metallurgychisel:nether_window:7, Kalendrite Window
metallurgychisel:nether_window:8, Vulcanite Window
metallurgychisel:nether_window:9, Sanguinite Window
metallurgychisel:nether_window:10, Shadow Steel Window
metallurgychisel:nether_window:11, Inolashite Window
metallurgychisel:nether_window:12, Amordrine Window
metallurgychisel:precious_frame:0, Zinc Frame
metallurgychisel:precious_frame:1, Silver Frame
metallurgychisel:precious_frame:2, Platinum Frame
metallurgychisel:precious_frame:3, Brass Frame
metallurgychisel:precious_frame:4, Electrum Frame
metallurgychisel:precious_frame_crossed:0, Zinc Frame Crossed
metallurgychisel:precious_frame_crossed:1, Silver Frame Crossed
metallurgychisel:precious_frame_crossed:2, Platinum Frame Crossed
metallurgychisel:precious_frame_crossed:3, Brass Frame Crossed
metallurgychisel:precious_frame_crossed:4, Electrum Frame Crossed
metallurgychisel:precious_grate:0, Zinc Grate
metallurgychisel:precious_grate:1, Silver Grate
metallurgychisel:precious_grate:2, Platinum Grate
metallurgychisel:precious_grate:3, Brass Grate
metallurgychisel:precious_grate:4, Electrum Grate
metallurgychisel:precious_mesh:0, Zinc Mesh
metallurgychisel:precious_mesh:1, Silver Mesh
metallurgychisel:precious_mesh:2, Platinum Mesh
metallurgychisel:precious_mesh:3, Brass Mesh
metallurgychisel:precious_mesh:4, Electrum Mesh
metallurgychisel:precious_window:0, Zinc Window
metallurgychisel:precious_window:1, Silver Window
metallurgychisel:precious_window:2, Platinum Window
metallurgychisel:precious_window:3, Brass Window
metallurgychisel:precious_window:4, Electrum Window
cfm:lampon, tile.lampon.name
cfm:lampoff, tile.lampoff.name
cfm:coffetablewood, tile.coffetablewood.name
cfm:coffetablestone, tile.coffetablestone.name
cfm:tablewood, tile.tablewood.name
cfm:tablestone, tile.tablestone.name
cfm:chairwood, tile.chairwood.name
cfm:chairstone, tile.chairstone.name
cfm:freezer, tile.freezer.name
cfm:fridge, tile.fridge.name
cfm:cabinet, tile.cabinet.name
cfm:couch, tile.couch.name
cfm:blindon, tile.blindon.name
cfm:blindoff, tile.blindoff.name
cfm:curtainon, tile.curtainon.name
cfm:curtainoff, tile.curtainoff.name
cfm:bedsidecabinet, tile.bedsidecabinet.name
cfm:oven, Oven
cfm:ovenoverhead, tile.ovenoverhead.name
cfm:hedge, tile.hedge.name
cfm:birdbath, tile.birdbath.name
cfm:stonepath, tile.stonepath.name
cfm:whitefence, tile.whitefence.name
cfm:tap, tile.tap.name
cfm:mailbox, tile.mailbox.name
cfm:tv, tile.tv.name
cfm:computer, tile.computer.name
cfm:printer, tile.printer.name
cfm:electricfence, tile.electricfence.name
cfm:doorbell, tile.doorbell.name
cfm:firealarmoff, tile.firealarmoff.name
cfm:firealarmon, tile.firealarmon.name
cfm:ceilinglightoff, tile.ceilinglightoff.name
cfm:ceilinglighton, tile.ceilinglighton.name
cfm:stereo, tile.stereo.name
cfm:toilet, tile.toilet.name
cfm:basin, tile.basin.name
cfm:wallcabinet, tile.wallcabinet.name
cfm:bath1, tile.bath1.name
cfm:bath2, tile.bath2.name
cfm:showerbottom, tile.showerbottom.name
cfm:showertop, tile.showertop.name
cfm:showerheadoff, tile.showerheadoff.name
cfm:showerheadon, tile.showerheadon.name
cfm:bin, tile.bin.name
cfm:present, tile.present.name
cfm:tree, tile.tree.name
cfm:toaster, tile.toaster.name
cfm:microwave, tile.microwave.name
cfm:washingmachine, tile.washingmachine.name
cfm:cookiejar, tile.cookiejar.name
cfm:blender, tile.blender.name
cfm:plate, tile.plate.name
cfm:cup, tile.cup.name
cfm:counterdoored, tile.counterdoored.name
cfm:countersink, tile.countersink.name
cfm:dishwasher, tile.dishwasher.name
cfm:kitchencabinet, tile.kitchencabinet.name
cfm:choppingboard, tile.choppingboard.name
cfm:barstool, tile.barstool.name
cfm:hey, tile.hey.name
cfm:nyan, tile.nyan.name
cfm:pattern, tile.pattern.name
cfm:yellowGlow, tile.yellowGlow.name
cfm:whiteGlass, tile.whiteGlass.name
netherlicious:CrimsonNylium:0, Crimson Nylium
netherlicious:WarpedNylium:0, Warped Nylium
netherlicious:FoxfireNylium:0, Foxfire Nylium
netherlicious:SoulSoil:0, Soul Soil
netherlicious:SoulSoil:1, Soul Soil
netherlicious:SoulSoil:2, Soul Soil
netherlicious:SoulSoil:3, Soul Soil
netherlicious:SoulSoil:4, Soul Soil
netherlicious:SoulSoil:5, Soul Soil
netherlicious:SoulFarmland, Soul Farmland
netherlicious:Basalt:0, Basalt
netherlicious:Basalt:1, Polished Basalt
netherlicious:BasaltBricks:0, Basalt Bricks
netherlicious:BasaltBricks:1, Cracked Basalt Bricks
netherlicious:BasaltBricks:2, Chiseled Basalt Bricks
netherlicious:BasaltBricks:3, Polished Basalt Bricks
netherlicious:BasaltBricks:4, Cracked Polished Basalt Bricks
netherlicious:BasaltBricks:5, Chiseled Polished Basalt Bricks
netherlicious:BasaltBricks:6, Smooth Basalt
netherlicious:BasaltBricks:7, Smooth Polished Basalt
netherlicious:Blackstone:0, Blackstone
netherlicious:Blackstone:1, Polished Blackstone
netherlicious:Blackstone:2, Chiseled Polished Blackstone
netherlicious:Blackstone:3, Polished Blackstone Bricks
netherlicious:Blackstone:4, Cracked Polished Blackstone Bricks
netherlicious:Blackstone:5, Gilded Blackstone
netherlicious:Blackstone:6, Blackstone Tiles
netherlicious:Blackstone:7, Blackstone Cross
netherlicious:Blackstone:8, Blackstone Path
netherlicious:Nether_Gravel:0, Dark Gravel
netherlicious:Ash, Ash Block
netherlicious:SoulSandstone:0, Soul Sandstone
netherlicious:SoulSandstone:1, Cut Soul Sandstone
netherlicious:SoulSandstone:2, Chiseled Soul Sandstone
netherlicious:SoulSandstone:3, Smooth Soul Sandstone
netherlicious:Netherbricks:0, Cracked Nether Bricks
netherlicious:Netherbricks:1, Chiseled Nether Bricks
netherlicious:Netherbricks:2, Red Nether Bricks
netherlicious:Netherbricks:3, Cracked Red Nether Bricks
netherlicious:Netherbricks:4, Chiseled Red Nether Bricks
netherlicious:Netherbricks:5, Warped Nether Bricks
netherlicious:Netherbricks:6, Cracked Warped Nether Bricks
netherlicious:Netherbricks:7, Chiseled Warped Nether Bricks
netherlicious:Netherbricks:8, Foxfire Nether Bricks
netherlicious:Netherbricks:9, Cracked Foxfire Nether Bricks
netherlicious:Netherbricks:10, Chiseled Foxfire Nether Bricks
netherlicious:NewNetherbrick1:0, Smooth Chiseled Nether Bricks
netherlicious:NewNetherbrick1:1, Weathered Nether Bricks
netherlicious:NewNetherbrick1:2, Nether Brick Cross
netherlicious:NewNetherbrick1:3, Smooth Nether Bricks
netherlicious:NewNetherbrick1:4, Nether Brick Tiles
netherlicious:NewNetherbrick1:5, Smooth Red Chiseled Nether Bricks
netherlicious:NewNetherbrick1:6, Weathered Red Nether Bricks
netherlicious:NewNetherbrick1:7, Red Nether Brick Cross
netherlicious:NewNetherbrick1:8, Smooth Red Nether Bricks
netherlicious:NewNetherbrick1:9, Red Nether Brick Tiles
netherlicious:NewNetherbrick1:10, Smooth Warped Chiseled Nether Bricks
netherlicious:NewNetherbrick1:11, Weathered Warped Nether Bricks
netherlicious:NewNetherbrick1:12, Warped Nether Brick Cross
netherlicious:NewNetherbrick1:13, Smooth Warped Nether Bricks
netherlicious:NewNetherbrick1:14, Warped Nether Brick Tiles
netherlicious:NewNetherbrick2:0, Smooth Foxfire Chiseled Nether Bricks
netherlicious:NewNetherbrick2:1, Weathered Foxfire Nether Bricks
netherlicious:NewNetherbrick2:2, Foxfire Nether Brick Cross
netherlicious:NewNetherbrick2:3, Smooth Foxfire Nether Bricks
netherlicious:NewNetherbrick2:4, Foxfire Nether Brick Tiles
netherlicious:NewNetherbrick2:5, Black Nether Bricks
netherlicious:NewNetherbrick2:6, Cracked Black Nether Bricks
netherlicious:NewNetherbrick2:7, Chiseled Black Nether Bricks
netherlicious:NewNetherbrick2:8, Smooth Black Chiseled Nether Bricks
netherlicious:NewNetherbrick2:9, Weathered Black Nether Bricks
netherlicious:NewNetherbrick2:10, Black Nether Brick Cross
netherlicious:NewNetherbrick2:11, Smooth Black Nether Bricks
netherlicious:NewNetherbrick2:12, Black Nether Brick Tiles
netherlicious:QuartzBricks:0, Quartz Bricks
netherlicious:QuartzBricks:1, Smooth Quartz Block
netherlicious:QuartzBricks:2, Block of Void Quartz
netherlicious:QuartzBricks:3, Chiseled Void Quartz
netherlicious:QuartzBricks:4, Void Quartz Bricks
netherlicious:QuartzBricks:5, Smooth Void Quartz
netherlicious:QuartzPillar:0, Chiseled Quartz Pillar
netherlicious:QuartzPillar:1, Void Quartz Pillar
netherlicious:QuartzPillar:2, Chiseled Void Quartz Pillar
netherlicious:CryingBlackstone, Crying Blackstone
netherlicious:BoneBlock:0, Bone Block
netherlicious:BoneBlock:1, Weathered Bone Block
netherlicious:Gloomstone, Gloomstone
netherlicious:NetherGoldOre, Nether Gold Ore
netherlicious:NetherIronOre, Nether Iron Ore
netherlicious:EfrineOre:0, Efrine Ore
netherlicious:VoidQuartzOre:0, Void Quartz Ore
netherlicious:VoidQuartzOre:1, Netherrack Void Quartz Ore
netherlicious:EfrineBlock:0, Block of Efrine
netherlicious:MagmaBlock:0, Magmatic Blackstone
netherlicious:MagmaBlock:1, Magmatic Netherrack
netherlicious:ShroomLight:0, Shroomlight
netherlicious:ShroomLight:1, tile.ShroomLight_fragrant.name
netherlicious:Wartblock:0, Crimson Wart Block
netherlicious:Wartblock:1, Warped Wart Block
netherlicious:Wartblock:2, Foxfire Wart Block
netherlicious:Wartblock:3, Nether Wart Block
netherlicious:Wartblock:4, tile.Wartblock_fragrant.name
netherlicious:SporeCushion:0, Crimson Spore Cushion
netherlicious:SporeCushion:1, Warped Spore Cushion
netherlicious:SporeCushion:2, Foxfire Spore Cushion
netherlicious:NetherCrystal:0, White Nether Crystal
netherlicious:NetherCrystal:1, Blue Nether Crystal
netherlicious:NetherCrystal:2, Green Nether Crystal
netherlicious:NetherCrystal:3, Yellow Nether Crystal
netherlicious:NetherCrystal:4, Magenta Nether Crystal
netherlicious:NetherCrystal:5, Budding White Nether Crystal
netherlicious:NetherCrystal:6, Budding Blue Nether Crystal
netherlicious:NetherCrystal:7, Budding Green Nether Crystal
netherlicious:NetherCrystal:8, Budding Yellow Nether Crystal
netherlicious:NetherCrystal:9, Budding Magenta Nether Crystal
netherlicious:CrystalClusterWhite:0, Small White Crystal Cluster
netherlicious:CrystalClusterWhite:1, White Crystal Cluster
netherlicious:CrystalClusterBlue:0, Small Blue Crystal Cluster
netherlicious:CrystalClusterBlue:1, Blue Crystal Cluster
netherlicious:CrystalClusterGreen:0, Small Green Crystal Cluster
netherlicious:CrystalClusterGreen:1, Green Crystal Cluster
netherlicious:CrystalClusterYellow:0, Small Yellow Crystal Cluster
netherlicious:CrystalClusterYellow:1, Yellow Crystal Cluster
netherlicious:CrystalClusterMagenta:0, Small Magenta Crystal Cluster
netherlicious:CrystalClusterMagenta:1, Magenta Crystal Cluster
netherlicious:CrystalLamp:0, White Crystal Lamp
netherlicious:CrystalLamp:1, Blue Crystal Lamp
netherlicious:CrystalLamp:2, Green Crystal Lamp
netherlicious:CrystalLamp:3, Yellow Crystal Lamp
netherlicious:CrystalLamp:4, Magenta Crystal Lamp
netherlicious:CrystalLamp:5, White Redstone Crystal Lamp
netherlicious:CrystalLamp:6, Blue Redstone Crystal Lamp
netherlicious:CrystalLamp:7, Green Redstone Crystal Lamp
netherlicious:CrystalLamp:8, Yellow Redstone Crystal Lamp
netherlicious:CrystalLamp:9, Magenta Redstone Crystal Lamp
netherlicious:TintedGlass:0, White Tinted Glass
netherlicious:TintedGlass:1, Blue Tinted Glass
netherlicious:TintedGlass:2, Green Tinted Glass
netherlicious:TintedGlass:3, Yellow Tinted Glass
netherlicious:TintedGlass:4, Magenta Tinted Glass
netherlicious:Stem:0, Crimson Stem
netherlicious:Stem:1, Stripped Crimson Stem
netherlicious:Stem:2, Warped Stem
netherlicious:Stem:3, Stripped Warped Stem
netherlicious:Stem2:0, Foxfire Stem
netherlicious:Stem2:1, Stripped Foxfire Stem
netherlicious:Stem2:2, tile.Stem2_fragrant.name
netherlicious:Stem2:3, tile.Stem2_fragrant_stripped.name
netherlicious:FullWood:0, Crimson Hyphae
netherlicious:FullWood:1, Stripped Crimson Hyphae
netherlicious:FullWood:2, Warped Hyphae
netherlicious:FullWood:3, Stripped Warped Hyphae
netherlicious:FullWood:4, Foxfire Hyphae
netherlicious:FullWood:5, Stripped Foxfire Hyphae
netherlicious:FullWood:6, tile.FullWood_fragrant.name
netherlicious:FullWood:7, tile.FullWood_stripped_fragrant.name
netherlicious:Planks:0, Crimson Planks
netherlicious:Planks:1, Warped Planks
netherlicious:Planks:2, Foxfire Planks
netherlicious:BlackstoneSingleSlab:0, Blackstone Slab
netherlicious:BlackstoneSingleSlab:1, Polished Blackstone Slab
netherlicious:BlackstoneSingleSlab:2, Polished Blackstone Brick Slab
netherlicious:BlackstoneDoubleSlab:0, Double Blackstone Slab
netherlicious:BlackstoneDoubleSlab:1, Double Polished Blackstone Slab
netherlicious:BlackstoneDoubleSlab:2, Double Polished Blackstone Brick Slab
netherlicious:PlankSingleSlab:0, Crimson Slab
netherlicious:PlankSingleSlab:1, Warped Slab
netherlicious:PlankSingleSlab:2, Foxfire Slab
netherlicious:PlankDoubleSlab:0, Double Crimson Slab
netherlicious:PlankDoubleSlab:1, Double Warped Slab
netherlicious:PlankDoubleSlab:2, Double Foxfire Slab
netherlicious:BrickSingleSlab:0, Red Nether Brick Slab
netherlicious:BrickSingleSlab:1, Warped Nether Brick Slab
netherlicious:BrickSingleSlab:2, Foxfire Nether Brick Slab
netherlicious:BrickSingleSlab:3, Black Nether Brick Slab
netherlicious:BrickDoubleSlab:0, Double Red Nether Brick Slab
netherlicious:BrickDoubleSlab:1, Double Warped Nether Brick Slab
netherlicious:BrickDoubleSlab:2, Double Foxfire Nether Brick Slab
netherlicious:BrickDoubleSlab:3, Double Black Nether Brick Slab
netherlicious:BrickSingleSlab2:0, Smooth Nether Brick Slab
netherlicious:BrickSingleSlab2:1, Smooth Red Nether Brick Slab
netherlicious:BrickSingleSlab2:2, Smooth Warped Brick Slab
netherlicious:BrickSingleSlab2:3, Smooth Foxfire Nether Brick Slab
netherlicious:BrickSingleSlab2:4, Smooth Black Nether Brick Slab
netherlicious:BrickDoubleSlab2:0, Double Smooth Nether Brick Slab
netherlicious:BrickDoubleSlab2:1, Double Smooth Red Nether Brick Slab
netherlicious:BrickDoubleSlab2:2, Double Smooth Warped Nether Brick Slab
netherlicious:BrickDoubleSlab2:3, Double Smooth Foxfire Nether Brick Slab
netherlicious:BrickDoubleSlab2:4, Double Smooth Black Nether Brick Slab
netherlicious:SoulSandstoneSingleSlab:0, Soul Sandstone Slab
netherlicious:SoulSandstoneSingleSlab:1, Smooth Soul Sandstone Slab
netherlicious:SoulSandstoneDoubleSlab:0, Double Soul Sandstone Slab
netherlicious:SoulSandstoneDoubleSlab:1, Double Smooth Soul Sandstone Slab
netherlicious:BasaltSingleSlab:0, Basalt Slab
netherlicious:BasaltSingleSlab:1, Polished Basalt Slab
netherlicious:BasaltSingleSlab:2, Basalt Brick Slab
netherlicious:BasaltSingleSlab:3, Polished Basalt Brick Slab
netherlicious:BasaltSingleSlab:4, Smooth Basalt Slab
netherlicious:BasaltSingleSlab:5, Smooth Polished Basalt Slab
netherlicious:BasaltDoubleSlab:0, Double Basalt Slab
netherlicious:BasaltDoubleSlab:1, Double Polished Basalt Slab
netherlicious:BasaltDoubleSlab:2, Double Basalt Brick Slab
netherlicious:BasaltDoubleSlab:3, Double Polished Basalt Brick Slab
netherlicious:BasaltDoubleSlab:4, Double Smooth Basalt Slab
netherlicious:BasaltDoubleSlab:5, Double Smooth Polished Basalt Slab
netherlicious:QuartzSingleSlab:0, Quartz Brick Slab
netherlicious:QuartzSingleSlab:1, Smooth Quartz Slab
netherlicious:QuartzSingleSlab:2, Void Quartz Slab
netherlicious:QuartzSingleSlab:3, Void Quartz Brick Slab
netherlicious:QuartzSingleSlab:4, Smooth Void Quartz Slab
netherlicious:QuartzDoubleSlab:0, Quartz Brick Double Slab
netherlicious:QuartzDoubleSlab:1, Smooth Quartz Double Slab
netherlicious:QuartzDoubleSlab:2, Void Quartz Double Slab
netherlicious:QuartzDoubleSlab:3, Void Quartz Brick Double Slab
netherlicious:QuartzDoubleSlab:4, Smooth Void Quartz Double Slab
netherlicious:CrimsonStairs, Crimson Stairs
netherlicious:WarpedStairs, Warped Stairs
netherlicious:FoxfireStairs, Foxfire Stairs
netherlicious:RedWartbrickStairs, Red Nether Brick Stairs
netherlicious:WarpedWartbrickStairs, Warped Nether Brick Stairs
netherlicious:FoxfireWartbrickStairs, Foxfire Nether Brick Stairs
netherlicious:BlackNetherbrickStairs, Black Nether Brick Stairs
netherlicious:SmoothNetherbrickStairs, Smooth Nether Brick Stairs
netherlicious:SmoothRedNetherbrickStairs, Smooth Red Nether Brick Stairs
netherlicious:SmoothWarpedNetherbrickStairs, Smooth Warped Nether Brick Stairs
netherlicious:SmoothFoxfireNetherbrickStairs, Smooth Foxfire Nether Brick Stairs
netherlicious:SmoothBlackNetherbrickStairs, Smooth Black Nether Brick Stairs
netherlicious:BlackstoneStairs, Blackstone Stairs
netherlicious:PolishedBlackstoneStairs, Polished Blackstone Stairs
netherlicious:BlackstoneBrickStairs, Polished Blackstone Brick Stairs
netherlicious:SoulSandstoneStairs, Soul Sandstone Stairs
netherlicious:SmoothSoulSandstoneStairs, Smooth Soul Sandstone Stairs
netherlicious:BasaltStairs, Basalt Stairs
netherlicious:PolishedBasaltStairs, Polished Basalt Stairs
netherlicious:BasaltBrickStairs, Basalt Brick Stairs
netherlicious:PolishedBasaltBrickStairs, Polished Basalt Brick Stairs
netherlicious:SmoothBasaltStairs, Smooth Basalt Stairs
netherlicious:PolishedSmoothBasaltStairs, Polished Smooth Basalt Stairs
netherlicious:QuartzBrickStairs, Quartz Brick Stairs
netherlicious:QuartzSmoothStairs, Smooth Quartz Stairs
netherlicious:QuartzVoidStairs, Void Quartz Stairs
netherlicious:QuartzVoidBrickStairs, Void Quartz Brick Stairs
netherlicious:QuartzVoidSmoothStairs, Smooth Void Quartz Stairs
netherlicious:Wall:0, Blackstone Wall
netherlicious:Wall:1, Polished Blackstone Wall
netherlicious:Wall:2, Polished Blackstone Brick Wall
netherlicious:NetherbrickWall:0, Nether Brick Wall
netherlicious:NetherbrickWall:1, Red Nether Brick Wall
netherlicious:NetherbrickWall:2, Warped Nether Brick Wall
netherlicious:NetherbrickWall:3, Foxfire Nether Brick Wall
netherlicious:NetherbrickWall:4, Weathered Nether Brick Wall
netherlicious:NetherbrickWall:5, Smooth Nether Brick Wall
netherlicious:NetherbrickWall:6, Weathered Red Nether Brick Wall
netherlicious:NetherbrickWall:7, Smooth Red Nether Brick Wall
netherlicious:NetherbrickWall:8, Weathered Warped Nether Brick Wall
netherlicious:NetherbrickWall:9, Smooth Warped Nether Brick Wall
netherlicious:NetherbrickWall:10, Weathered Foxfire Nether Brick Wall
